user_id;preference_fonction;preference_epoque;mobilite;transport;budget_max;duree_visite_min;zone;type_tarif;nb_pois;liste_pois
user_1;musee, culturel, Equipement;Romaine, Coloniale, Punique;réduite;vélo;74;172;Carthage;enfant;5;Theatre | Musee Oceanographique (Dar El Hout) | La colline de Byrsa | Parc des villas romaines | Ports puniques
user_3;musee, habitation, Equipement;Romaine, Punique;réduite;voiture;145;169;Carthage;retraité;9;Parc des villas romaines | Quartier Magon | Ports puniques | Theatre | La colline de Byrsa | Musee Oceanographique (Dar El Hout) | Tophet | Beit El Hikma
user_5;religieux, musee;Romaine, Beylicale Houssainite;réduite;vélo;59;231;Carthage;étranger;3;Theatre | Parc des villas romaines | Quartier Magon
user_6;habitation, Equipement;Coloniale;réduite;vélo;83;211;Carthage;étudiant;7;Musee Oceanographique (Dar El Hout) | Quartier Magon | Beit El Hikma | Parc des villas romaines | Ports puniques | Tophet | Theatre
user_8;Equipement;Coloniale, Beylicale Houssainite;réduite;à pied;41;144;Carthage;étranger;6;Musee Oceanographique (Dar El Hout) | Ports puniques | Beit El Hikma | Quartier Magon | Tophet | Parc des villas romaines
user_9;religieux, musee;Punique;réduite;taxi;143;158;Carthage;enseignant;4;"antonin)"",  | ,  | , "
user_16;religieux, musee;Romaine;normale;voiture;120;122;Carthage;enseignant;9;"Theatre | Parc des villas romaines | Quartier Magon | Ports puniques | antonin)"",  | ,  | ,  | , "
user_17;Equipement, habitation;Punique;réduite;taxi;159;193;Carthage;étranger;7;"Ports puniques | Quartier Magon | Tophet | antonin)"",  | ,  | , "
user_18;religieux, culturel, Equipement;Romaine;normale;taxi;198;188;Carthage;resident;9;"Theatre | Parc des villas romaines | La colline de Byrsa | Ports puniques | Quartier Magon | antonin)"",  | ,  | , "
user_20;religieux;Coloniale, Beylicale Houssainite, Punique;réduite;vélo;92;186;Carthage;étudiant;8;"Musee Oceanographique (Dar El Hout) | antonin)"",  | ,  | ,  | ,  | ,  | , "
user_21;culturel, musee, habitation;Romaine, Beylicale Houssainite, Punique;normale;taxi;133;155;Carthage;resident;3;Theatre | Parc des villas romaines | La colline de Byrsa
user_23;religieux, culturel, Equipement;Beylicale Houssainite, Coloniale, Punique;réduite;taxi;177;119;Carthage;étudiant;9;"Beit El Hikma | Tophet | antonin)"",  | ,  | ,  | ,  | ,  | , "
user_25;religieux, culturel, musee;Beylicale Houssainite, Coloniale, Punique;normale;voiture;146;225;Carthage;resident;9;"Beit El Hikma | Musee Oceanographique (Dar El Hout) | Tophet | antonin)"",  | ,  | ,  | ,  | , "
user_26;religieux, culturel, musee;Coloniale;normale;taxi;135;217;Carthage;étudiant;4;"Musee Oceanographique (Dar El Hout) | antonin)"",  | , "
user_27;Equipement, culturel;Romaine;normale;vélo;88;131;Carthage;retraité;7;Theatre | Ports puniques | Parc des villas romaines | La colline de Byrsa | Quartier Magon | Tophet | Beit El Hikma
user_28;culturel;Coloniale;normale;voiture;121;226;Carthage;retraité;9;Musee Oceanographique (Dar El Hout) | Tophet | Theatre | La colline de Byrsa | Ports puniques | Quartier Magon | Beit El Hikma | Parc des villas romaines
user_29;culturel;Coloniale, Beylicale Houssainite;réduite;voiture;102;166;Carthage;retraité;7;Musee Oceanographique (Dar El Hout) | Tophet | Theatre | La colline de Byrsa | Beit El Hikma | Ports puniques | Quartier Magon
user_30;culturel, religieux;Romaine, Punique, Coloniale;normale;taxi;180;155;Carthage;enseignant;9;"Theatre | La colline de Byrsa | Tophet | Parc des villas romaines | Ports puniques | Quartier Magon | antonin)"",  | , "
user_31;religieux;Punique;réduite;voiture;102;175;Carthage;resident;5;"antonin)"",  | ,  | ,  | , "
user_32;musee, habitation, religieux;Romaine, Punique, Beylicale Houssainite;réduite;taxi;133;203;Carthage;enfant;3;Parc des villas romaines | Quartier Magon | Theatre
user_33;Equipement, habitation;Punique, Romaine, Beylicale Houssainite;normale;voiture;122;183;Carthage;enfant;9;"Ports puniques | Quartier Magon | Parc des villas romaines | Tophet | La colline de Byrsa | antonin)"",  | ,  | , "
user_34;habitation;Punique;normale;vélo;61;232;Carthage;étudiant;3;Quartier Magon | Tophet | Parc des villas romaines
user_35;Equipement, religieux;Coloniale;réduite;vélo;57;207;Carthage;resident;3;Musee Oceanographique (Dar El Hout) | Ports puniques | Quartier Magon
user_36;Equipement, musee;Coloniale, Romaine, Punique;normale;voiture;149;121;Carthage;étranger;9;"Musee Oceanographique (Dar El Hout) | Ports puniques | Theatre | Parc des villas romaines | Quartier Magon | Tophet | La colline de Byrsa | antonin)"", "
user_38;Equipement, religieux;Coloniale, Punique, Beylicale Houssainite;réduite;vélo;75;118;Carthage;enseignant;5;"Ports puniques | Musee Oceanographique (Dar El Hout) | antonin)"",  | , "
user_39;culturel, musee;Romaine, Coloniale;normale;voiture;107;179;Carthage;étranger;6;Theatre | La colline de Byrsa | Parc des villas romaines | Musee Oceanographique (Dar El Hout) | Quartier Magon | Ports puniques
user_40;religieux;Punique, Romaine, Beylicale Houssainite;réduite;vélo;63;198;Carthage;enfant;3;"antonin)"",  | , "
user_41;Equipement;Punique, Beylicale Houssainite;normale;taxi;144;224;Carthage;étranger;4;Ports puniques | Tophet | Quartier Magon
user_43;Equipement, habitation;Punique;réduite;taxi;199;114;Carthage;retraité;9;"Ports puniques | Quartier Magon | Tophet | antonin)"",  | ,  | ,  | ,  | , "
user_44;religieux;Punique, Coloniale, Beylicale Houssainite;réduite;à pied;34;206;Carthage;étranger;3;"antonin)"",  | , "
user_46;culturel, musee;Romaine, Punique;normale;voiture;84;151;Carthage;étranger;3;Theatre | La colline de Byrsa | Tophet
user_47;Equipement, habitation;Punique, Beylicale Houssainite;normale;vélo;87;183;Carthage;resident;7;"Ports puniques | Quartier Magon | Tophet | Beit El Hikma | antonin)"",  | , "
user_48;culturel, musee;Romaine;normale;vélo;76;155;Carthage;retraité;5;Theatre | La colline de Byrsa | Parc des villas romaines | Tophet | Quartier Magon
user_49;musee, Equipement;Punique;réduite;à pied;27;95;Carthage;resident;3;Ports puniques | Tophet
user_50;habitation;Romaine;réduite;vélo;88;220;Carthage;retraité;7;Parc des villas romaines | Quartier Magon | Theatre | Beit El Hikma | Ports puniques | La colline de Byrsa | Tophet
user_51;Equipement, musee;Punique;réduite;voiture;118;145;Carthage;enfant;9;"Ports puniques | Tophet | antonin)"",  | ,  | ,  | ,  | ,  | , "
user_52;Equipement, religieux, musee;Romaine, Beylicale Houssainite, Punique;réduite;taxi;186;181;Carthage;enfant;9;"Ports puniques | Parc des villas romaines | Theatre | Quartier Magon | Beit El Hikma | La colline de Byrsa | antonin)"",  | , "
user_53;religieux, Equipement;Beylicale Houssainite, Romaine;normale;voiture;128;238;Carthage;enseignant;9;"Beit El Hikma | Ports puniques | Theatre | Parc des villas romaines | antonin)"",  | ,  | ,  | , "
user_54;musee;Punique;normale;à pied;31;166;Carthage;resident;3;Tophet | Ports puniques
user_55;Equipement, habitation;Beylicale Houssainite, Romaine;normale;taxi;170;218;Carthage;enseignant;9;Beit El Hikma | Ports puniques | Parc des villas romaines | Quartier Magon | Theatre | La colline de Byrsa | Tophet | Musee Oceanographique (Dar El Hout)
user_56;Equipement, habitation, culturel;Romaine, Coloniale;normale;à pied;47;202;Carthage;enseignant;5;Parc des villas romaines | Ports puniques | Theatre | Quartier Magon | La colline de Byrsa
user_57;culturel, habitation;Beylicale Houssainite;réduite;voiture;68;149;Carthage;retraité;3;Beit El Hikma | Tophet | Theatre
user_58;religieux, habitation, Equipement;Coloniale, Punique;normale;vélo;65;182;Carthage;retraité;4;"Musee Oceanographique (Dar El Hout) | antonin)"",  | , "
user_60;habitation, religieux, culturel;Punique, Coloniale, Romaine;normale;taxi;138;228;Carthage;étranger;4;Quartier Magon | Parc des villas romaines | Tophet
user_61;culturel, Equipement;Coloniale, Punique, Beylicale Houssainite;normale;voiture;91;139;Carthage;enseignant;5;Tophet | Ports puniques | La colline de Byrsa | Musee Oceanographique (Dar El Hout) | Quartier Magon
user_62;Equipement, religieux, musee;Coloniale, Beylicale Houssainite;normale;voiture;78;173;Carthage;enseignant;4;Musee Oceanographique (Dar El Hout) | Ports puniques | Beit El Hikma
user_63;musee, religieux;Punique, Coloniale, Beylicale Houssainite;réduite;vélo;78;101;Carthage;étranger;5;"Musee Oceanographique (Dar El Hout) | antonin)"",  | ,  | , "
user_65;Equipement, musee, habitation;Coloniale, Romaine, Punique;normale;taxi;160;196;Carthage;enfant;8;Musee Oceanographique (Dar El Hout) | Ports puniques | Parc des villas romaines | Quartier Magon | Theatre | Tophet | La colline de Byrsa | Beit El Hikma
user_66;habitation, musee;Punique;normale;voiture;128;138;Carthage;enseignant;9;"Quartier Magon | Tophet | Parc des villas romaines | Ports puniques | antonin)"",  | ,  | ,  | , "
user_67;musee, Equipement, culturel;Punique, Romaine;réduite;taxi;145;129;Carthage;resident;5;Ports puniques | Tophet | La colline de Byrsa | Quartier Magon
