,from,to,distance_m,distance_km,duree_pied_min,duree_velo_min,duree_voiture_min
0,Theatre,Parc des villas romaines,249,0.25,3.0,1.1,0.5
1,Theatre,Monastere de Bigua (maison de Tellus),303,0.3,3.6,1.4,0.6
2,Theatre,Maison du Cryptoportique,294,0.29,3.5,1.4,0.6
3,Theatre,Maison de la Basilique,309,0.31,3.7,1.4,0.6
4,Theatre,Maison de la Volière,331,0.33,4.0,1.5,0.7
5,Theatre,Maison de la Rotonde,353,0.35,4.2,1.6,0.7
6,Theatre,Maison des Lions,448,0.45,5.4,2.1,0.9
7,Theatre,Nécropole punique (Parc des villas romaines),219,0.22,2.6,1.0,0.4
8,Theatre,Nymphée,256,0.26,3.1,1.2,0.5
9,Theatre,Muraille de Thedose,430,0.43,5.2,2.0,0.9
10,Theatre,Parc des thermes d'Antonin,467,0.47,5.6,2.2,0.9
11,Theatre,Chapelle d’Asterius,432,0.43,5.2,2.0,0.9
12,Theatre,Four punique,363,0.36,4.4,1.7,0.7
13,Theatre,Maison de la cachette,312,0.31,3.7,1.4,0.6
14,Theatre,Tombe de la Nécropole punique,498,0.5,6.0,2.3,1.0
15,Theatre,Basiliques byzantines,376,0.38,4.5,1.7,0.8
16,Theatre,Scholla,415,0.42,5.0,1.9,0.8
17,Theatre,Maison de Dionysos,445,0.45,5.3,2.1,0.9
18,Theatre,Nécropole punique (Parc des thermes d'antonin),496,0.5,6.0,2.3,1.0
19,Theatre,Thermes d'Antonin,581,0.58,7.0,2.7,1.2
20,Theatre,Latrines publiques,546,0.55,6.6,2.5,1.1
21,Theatre,Quartier Magon,631,0.63,7.6,2.9,1.3
22,Theatre,Tophet,1727,1.73,20.7,8.0,3.5
23,Theatre,Ports puniques,1435,1.44,17.2,6.6,2.9
24,Theatre,Port militaire,1324,1.32,15.9,6.1,2.6
25,Theatre,Port marchand,1500,1.5,18.0,6.9,3.0
26,Theatre,Ilot de l’Amirauté,1285,1.28,15.4,5.9,2.6
27,Theatre,Temple,1298,1.3,15.6,6.0,2.6
28,Theatre,Hangar,1299,1.3,15.6,6.0,2.6
29,Theatre,Colline de Byrsa,605,0.6,7.3,2.8,1.2
30,Theatre,Bibliotheque Tabularium,596,0.6,7.2,2.8,1.2
31,Theatre,Temple prostyle,638,0.64,7.7,2.9,1.3
32,Theatre,Grand Temple d'Esculape (d'Eshmoun),565,0.57,6.8,2.6,1.1
33,Theatre,Emplacement probable de la Basilique judiciaire,485,0.48,5.8,2.2,1.0
34,Theatre,"Absides ""Beule"" en contrebas",475,0.48,5.7,2.2,1.0
35,Theatre,Tombeaux puniques,636,0.64,7.6,2.9,1.3
36,Theatre,Musee national,505,0.51,6.1,2.3,1.0
37,Theatre,Tombeau punique (Ariche),588,0.59,7.1,2.7,1.2
38,Theatre,Emplacement de la Chapelle Saint Louis,482,0.48,5.8,2.2,1.0
39,Theatre,Emplacement probable de la curie,580,0.58,7.0,2.7,1.2
40,Theatre,Quartier Punique (Quartier Hannibal),581,0.58,7.0,2.7,1.2
41,Theatre,Cathedrale Saint Louis,552,0.55,6.6,2.5,1.1
42,Theatre,Beit El Hikma,621,0.62,7.5,2.9,1.2
43,Theatre,Musee Oceanographique (Dar El Hout),1471,1.47,17.7,6.8,2.9
44,Theatre,Amphitheatre De  Carthage,1191,1.19,14.3,5.5,2.4
45,Theatre,Basilique Damous Karita,634,0.63,7.6,2.9,1.3
46,Theatre,Rotonde ( Rotonde de Damous El Karita),527,0.53,6.3,2.4,1.1
47,Theatre,Basilique Maiorum,1331,1.33,16.0,6.1,2.7
48,Theatre,Basilique Saint Cyprien,1162,1.16,13.9,5.4,2.3
49,Theatre,Musee Paleochretien Basilique de Cartagena,940,0.94,11.3,4.3,1.9
50,Theatre,Citernes de la Malaga,902,0.9,10.8,4.2,1.8
51,Theatre,Cirque,1335,1.33,16.0,6.2,2.7
52,Theatre,Edifice à colonnes (Jockey club de Carthage),262,0.26,3.1,1.2,0.5
53,Theatre,Maison de la chasse aux sangliers,49,0.05,0.6,0.2,0.1
54,Theatre,Odeon,325,0.32,3.9,1.5,0.6
55,Theatre,Mosquée Imam Malek Ibn Anas,268,0.27,3.2,1.2,0.5
56,Theatre,Monument circulaire,194,0.19,2.3,0.9,0.4
57,Theatre,Monument circulaire(Martyrium),148,0.15,1.8,0.7,0.3
58,Theatre,Basilique chretienne,209,0.21,2.5,1.0,0.4
59,Theatre,Triconque,171,0.17,2.1,0.8,0.3
60,Theatre,Basilique Bir Ftouha,1351,1.35,16.2,6.2,2.7
61,Theatre,Maison de la course de chars,275,0.27,3.3,1.3,0.5
62,Theatre,Monument a absides,273,0.27,3.3,1.3,0.5
63,Theatre,Basilique Bir Messaouda,655,0.66,7.9,3.0,1.3
64,Theatre,Quartier Didon,608,0.61,7.3,2.8,1.2
65,Theatre,Temple d'Apollon,629,0.63,7.5,2.9,1.3
66,Theatre,Citernes Dar Saniet,1465,1.46,17.6,6.8,2.9
67,Theatre,Crypte archeologique,356,0.36,4.3,1.6,0.7
68,Theatre,Chapelle sainte monique,1107,1.11,13.3,5.1,2.2
69,Theatre,Palais Essaada,2677,2.68,32.1,12.4,5.4
70,Theatre,Palais Abdellia,2683,2.68,32.2,12.4,5.4
71,Theatre,Arrondissement de la Marsa Medina,3125,3.12,37.5,14.4,6.2
72,Theatre,Palais Ahmed Bey,3017,3.02,36.2,13.9,6.0
73,Theatre,Cafe Houas,2992,2.99,35.9,13.8,6.0
